VG, IG, ID, logID, ID^0.5
1.6,-6.180000000000001E-13,4.6646999999999997E-7,-6.331176281721144,6.829860906343554E-4
1.8,-3.8500000000000003E-13,6.43046E-7,-6.191757958908425,8.019014902093648E-4
2.0,-1.3700000000000002E-13,8.59197E-7,-6.065907248038514,9.269287998546598E-4
2.2,1.7800000000000002E-13,1.120005E-6,-5.950780038519495,0.001058302886701156
2.4,3.0200000000000003E-13,1.4761300000000001E-6,-5.830875393328365,0.0012149609047208063
2.6,9.52E-13,1.8235000000000002E-6,-5.7390942323502,0.0013503703195790406
2.8000000000000003,1.7010000000000001E-12,2.22248E-6,-5.65316213853715,0.0014907984437877576
3.0,2.644E-12,2.6752700000000005E-6,-5.57263238052397,0.001635625262705367
3.2,3.755E-12,3.1818200000000003E-6,-5.497324392639745,0.0017837656796788081
3.4,5.273000000000001E-12,3.7438600000000004E-6,-5.426680399881654,0.001934905682455866
3.6,7.0830000000000004E-12,4.3609800000000006E-6,-5.360415905050846,0.0020882959560368833
3.8000000000000003,9.155000000000001E-12,5.03695E-6,-5.297832360206786,0.002244315040273981
4.0,1.1595000000000001E-11,5.7701300000000004E-6,-5.238814402156808,0.0024021094895945107
4.2,1.4917000000000002E-11,6.5629400000000006E-6,-5.182901566151126,0.002561823569256868
4.4,1.8625E-11,7.409790000000001E-6,-5.130194100135862,0.0027220929447761334
4.6000000000000005,2.2602000000000002E-11,8.31708E-6,-5.080029121121944,0.002883934812023323
4.8,2.7467000000000003E-11,9.281310000000001E-6,-5.032390721451481,0.003046524249041849
5.0,3.2834E-11,1.0297560000000002E-5,-4.987265668893953,0.003208981146719314
5.2,3.9061E-11,1.1373850000000001E-5,-4.944092503585333,0.00337251389915594
5.4,4.4865000000000005E-11,1.2648E-5,-4.897978143075847,0.0035564026768632375
5.6000000000000005,5.2975E-11,1.3792700000000001E-5,-4.860350709870376,0.00371385244725743
5.8,6.1911E-11,1.49924E-5,-4.8241288392447625,0.0038720020661151514
6.0,7.181300000000001E-11,1.62604E-5,-4.788868775122268,0.004032418629061224
6.2,8.3148E-11,1.75662E-5,-4.755322176895178,0.004191205077301754
6.4,9.4939E-11,1.89529E-5,-4.722324328828494,0.004353492850574123
6.6000000000000005,1.0887500000000001E-10,2.03245E-5,-4.6919801296164,0.0045082701782391
6.8,1.2410000000000002E-10,2.17348E-5,-4.6628443517600555,0.00466205963067827
7.0,1.40825E-10,2.3186400000000002E-5,-4.634766676178859,0.00481522585140095
7.2,1.6013900000000002E-10,2.4657400000000002E-5,-4.608052719515766,0.004965621814032962
7.4,1.8094200000000001E-10,2.61472E-5,-4.582574811181281,0.005113433288897001
7.6000000000000005,2.05035E-10,2.76684E-5,-4.558015954384962,0.005260076045077676
7.8,2.3038800000000003E-10,2.92055E-5,-4.53453535421175,0.005404211320812686
8.0,2.6025900000000003E-10,3.07412E-5,-4.512279183576469,0.0055444747271495435
8.2,2.91057E-10,3.22985E-5,-4.490817646611611,0.005683176928444161
8.4,3.24066E-10,3.38551E-5,-4.470375899060943,0.0058185135558834955
8.6,3.6107900000000005E-10,3.54211E-5,-4.450737955949101,0.005951562819965861
8.8,4.00646E-10,3.69829E-5,-4.43199903680539,0.006081356756514125
9.0,4.41667E-10,3.85657E-5,-4.413798781418577,0.006210128823140467
9.200000000000001,4.86596E-10,4.01291E-5,-4.39654058034632,0.006334753349578814
9.4,5.32987E-10,4.1700200000000004E-5,-4.379861862084082,0.006457569202106935
